International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Refined Petroleum Products,1000 bbl/d,11446,12311,13279,13945,14612,15353,16248,17390,17176,17795,18971,19409,19339,19803,21375,22239,22150,22687,22739,24390,25209,25873,26972,NA,
,Motor Gasoline,1000 bbl/d,2116,2213,2373,2605,2631,2767,2978,3124,3171,3299,3465,3573,3607,3762,3934,4015,4054,4201,4303,4884,5030,5109,5500,NA,
,Jet Fuel,1000 bbl/d,578,581,600,601,679,770,782,874,931,928,986,1026,1030,1025,1203,1302,1378,1501,1584,1580,1615,1693,1760,NA,
,Kerosene,1000 bbl/d,790,834,906,949,922,999,1066,1067,1013,1116,1210,1169,1126,1174,1071,1093,1029,763,866,854,871,826,802,NA,
,Distillate Fuel Oil,1000 bbl/d,3131,3393,3717,3977,4139,4432,4761,4986,4895,5404,5765,5961,5798,6035,6540,6900,7014,7334,7716,7842,8221,8561,9177,NA,
,Residual Fuel Oil,1000 bbl/d,2816,2924,3153,3201,3272,3288,3209,3356,3173,2985,2963,2786,2754,2906,2904,2988,2819,2686,2362,2382,2143,2050,1974,NA,
,Liquefied Petroleum Gases,1000 bbl/d,388,428,484,513,559,672,725,743,791,781,893,1003,982,1096,1182,1200,1270,1296,1301,1366,1351,1321,1323,NA,
,Other Products,1000 bbl/d,1627,1936,2048,2098,2411,2425,2727,3240,3202,3282,3689,3889,4041,3806,4542,4742,4586,4906,4608,5483,5979,6313,6437,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,6792,7074,7410,7758,8304,8754,9473,9764,9805,10247,10767,10992,12243,13142,13436,14168,14525,15185,15792,16665,18546,18640,18891,19456,
,Vented and Flared Natural Gas,Bcf,482,422,450,354,281,287,287,282,288,290,278,226,262,310,287,282,245,218,247,317,319,309,289,359,
,Reinjected Natural Gas,Bcf,590,476,442,521,590,625,633,618,565,310,338,470,1000,1028,998,979,714,513,530,536,542,513,516,492,
,Marketed Natural Gas,Bcf,5721,6175,6518,6868,7432,7843,8553,8864,8951,9646,10151,10296,10981,11804,12152,12907,13565,14454,15014,15811,17685,17818,18086,18604,
,Dry Natural Gas,Bcf,5566,5998,6320,6699,7242,7640,7638,8635,8704,9292,9582,9600,10291,10886,11255,11966,12895,13913,14503,15289,17072,17197,15914,17867,7991
,Central & South America,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,16.727,17.586,17.877,18.8,19.792,21.12,22.483,24.125,24.781,24.499,26.031,25.992,25.309,25.651,27.095,28.073,29.038,29.101,29.775,29.964,30.737,32.36,32.327,32.14,
,Biofuels,1000 bbl/d,,,,,,,,,,,185,199,221,254,257,285,330,426,533,534,588,519,532,,
,Fuel Ethanol,1000 bbl/d,205,222,204,197,218,221,244,268,244,225,185,199,221,254,257,284,328,415,498,477,503,416,430,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,0.1,0.2,0.4,0.4,0.5,0.5,2.2,11,36,57,85,103,104,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,34382,33384,34660,35253,38064,40994,44718,50474,54616,52593,60940,66115,60360,70647,75068,82326,90359,92313,95896,91902,92442,104395,110664,108079,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,100,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,4673,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,95715,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,4357,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,3235,
,Secondary Coal,1000 ST,10279,10891,10669,11267,11067,11058,11300,11005,10980,10211,10931,10778,10427,10287,10964,11067,10712,11669,11596,10805,14112,14869,14390,,
,Metallurgical Coke,1000 ST,10279,10891,10669,11267,11067,11058,11300,11005,10980,10211,10931,10778,10427,10287,10964,11067,10712,11669,11596,10805,14112,14869,14390,NA,
