,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total Primary Coal,1000 ST,16349,15525,16283,16820,17377,16169,16035,15469,15338,14360,14662,12392,10549,10970,10822,10366,9905,10045,10533,10240,10522
Iceland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,289126,299525,320139,339177,351866,348008,356737,370018,385394,401182,425969,452379,482004,509396,541303,578909,624032,628787,641855,665694,675467
Indonesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,32401,35647,45449,55482,61710,64490,68463,73971,78344,116337,125141,141624,164977,178899,207965,197237,252216,358610,458302,514015,538607
Iran,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1068,1425,1254,1335,1334,1356,1146,1265,1228,1138,1260,1349,1715,1820,1835,1753,1270,1200,1283,1151,1296
Iraq,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,694,294,190,151,238,208,127,15,153,180,276,108,105,23,174,129,79,111,101,88,88
Jamaica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,7943,7432,6963,6797,4376,4077,4066,3267,3536,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,123326,115329,93139,85956,80080,78071,65912,85367,87167,81567,93820,95912,96118,106555,107837,122436,111172,122278,128364,132858,132167
Kenya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
"Korea, North",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,29873,27999,26125,23149,22708,20503,23369,24802,25463,24141,24582,25133,26522,27205,26566,27624,28109,27558,28109,28440,29321
"Korea, South",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,10409,8199,6305,5458,4976,4807,4626,9149,8415,3657,3635,3517,3122,3113,3181,3057,2777,2297,2297,2308,2001
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8508,9470,9534,9141,9572,9060
Kuwait,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1897,931,510,451,575,476,460,468,525,506,459,508,369,354,435,535,669,634,916,1283,1567
Laos,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1.1,1.1,26,56,105,271,454,454,416,551,495,660,686,714,1144,850,968,787,748,927,857
Latvia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Macau,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,7625,7562,7991,7876,8205,9012,8130,8285,8935,8356,8137,7986,7585,7318,7175,8411,8186,7412,9049,8234,7314
Madagascar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,70,87,53,66,73,55,50,61,66,58,60,60,60,60,60
Malaysia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,133,148,123,241,240,347,273,423,602,389,193,429,869,993,1185,1382,2357,2642,3214,3252,3256
Maldives,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
