,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Generation,Billion Kwh,493,496,503,520,517,522,519,540,550,550,572,579,577,593,598,594,552,586,566,585,591
"Germany, East",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
"Germany, West",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,6.2,6.1,6.1,6.6,6.8,4.7,5.8,7.1,7.7,7.1,5.7,5.9,6.7,8.2,6.7,8.1,8.8,9.9,11,12,13
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Greece,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,36,38,39,40,41,44,47,50,50,51,55,55,56,57,59,59,58,54,56,58,55
Greenland,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Grenada,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5
Guam,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,1.6,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7
Guatemala,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.9,3.1,3.4,3.3,3.4,4.3,5.2,6,5.8,6.1,7.6,6.7,8.3,8.3,9,8.4,8.7,8.7,8.9,9.2,9.7
Guinea,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1,0.9,0.9,0.9,0.8,0.9,1,1,0.9,1,1,1
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Guyana,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.4,0.5,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9
Haiti,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.5,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.7,0.6,0.9,1.1,1
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.5,2.1,2.3,3,3.1,3.3,3.1,3.5,3.7,3.9,4.4,4.7,5.4,5.7,6.1,6.3,6.4,6.5,7.3,7.5,7.8
Hong Kong,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,34,25,26,27,27,30,28,29,30,32,33,35,36,36,37,36,36,36,37,37,37
Hungary,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,31,32,32,33,34,35,36,33,34,34,32,32,34,34,38,38,34,35,34,33,29
Iceland,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,4.7,4.7,4.9,5.1,5.5,6.2,7.1,7.6,8,8.3,8.4,8.6,8.6,9.9,12,16,17,17,17,17,17
India,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,339,366,396,413,441,471,505,538,557,577,614,645,676,727,776,803,866,916,1006,1051,1123
Indonesia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,52,58,57,64,73,75,81,89,96,103,108,114,121,127,136,142,149,161,173,185,206
Iran,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,72,77,76,81,88,93,102,114,123,133,145,157,168,182,193,202,208,219,226,239,254
Iraq,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,25,26,27,27,28,29,28,30,30,32,27,30,29,32,32,35,43,47,51,58,69
Ireland,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,15,16,16,18,18,20,20,22,23,23,23,24,24,25,26,28,26,27,26,26,24
Israel,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,24,27,29,31,33,36,37,40,41,43,44,44,46,48,51,53,51,55,56,59,56
Italy,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,207,216,223,225,232,238,243,253,255,260,265,277,278,289,289,293,271,281,284,281,273
Jamaica,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,3.6,4.5,5.5,5.7,5.9,6.1,6.2,6.2,6.3,6.5,6.7,6.8,7,7,5.6,4,4.2,4.1,4.2,3.9,3.9
Japan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,856,911,936,955,985,991,997,989,972,990,982,1010,1020,1039,1078,1009,982,1053,1041,966,982
Jordan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,4.5,4.8,5.3,5.7,5.9,6.3,6.7,6.9,7.1,7.6,7.5,8.4,9.1,10,12,13,13,14,14,16,16
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,74,63,63,56,49,47,45,49,54,55,60,63,64,68,72,76,74,78,82,88,90
Kenya,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,3.6,3.6,4,4.2,4.4,4.5,4.3,4.1,4.6,4.8,5.1,5.5,5.9,6.3,6.5,6.4,6.6,7.2,7.6,8,8.5
Kiribati,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"Korea, North",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,26,26,26,24,22,21,18,19,20,19,20,21,22,22,21,23,20,21,19,19,19
"Korea, South",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,134,171,189,210,229,225,222,272,291,310,324,346,364,379,402,419,426,468,490,500,506
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,4.9,4.7,4.9,5.5,5.6,6.1
Kuwait,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,19,21,22,24,25,28,30,30,32,34,37,39,41,45,46,49,50,54,54,59,57
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,11,13,12,14,12,11,13,16,15,13,15,16,15,14,15,12,11,12,15,15,14
Laos,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.9,0.9,1.1,1.2,1.2,2,2.6,3.6,3.6,3.6,3.1,3.3,3.4,3.6,3.6,4,3.7,7.9,12,12,15
Latvia,,,,,,,,,,,,,,,,,,,,,,
